Description,Size,Bedrooms,Bathrooms,Building Type,Area,Price
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,36500
104m2 2 Bedrooms Apartments for Sale in Muscat Bosher,104,2,3,Apartments,Muscat,55000
Residential Land for Sale in Dhofar Salala,,,,Lands,Dhofar,22000
Residential Land for Sale in Al Batinah Barka,,,,Lands,Al Batinah,46000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
Commercial Land for Sale in Muscat Al Maabilah,,,,Commercial,Muscat,230000
907m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,907,,,Villa,Muscat,225000
400m2 5 Bedrooms Villa for Sale in Muscat Ghubrah,400,5,,Villa,Muscat,195
0m2 1 Bedroom Townhouse for Sale in Al Batinah Barka,0,1,2,Townhouses,Al Batinah,54
64m2 2 Bedrooms Apartments for Sale in Muscat Bosher,64,2,One,Apartments,Muscat,29000
84m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,84,2,3,Apartments,Muscat,26000
Commercial Land for Sale in Al Batinah Sohar,,,,Commercial,Al Batinah,14500
Commercial Land for Sale in Dhofar Muqshin,,,,Commercial,Dhofar,2200
Residential Land for Sale in Al Batinah Al 'Awabi,,,,Lands,Al Batinah,11500
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,45000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,55000
227m2 4 Bedrooms Villa for Sale in Muscat Amerat,227,4,4,Villa,Muscat,51000
Residential Land for Sale in Al Dakhiliya Sumail,,,,Lands,Al Dakhiliya,19000
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,54000
Residential Land for Sale in Al Dakhiliya Nizwa,,,,Lands,Al Dakhiliya,7000
1 Floor Building for Sale in Al Sharqiya Sur,,,,Whole Building,Al Sharqiya,44000
Residential Land for Sale in Muscat Seeb,,,,Lands,Muscat,36500
 Shops for Sale in Al Batinah Barka,,,,Commercial,Al Batinah,2500
344m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,344,,,Villa,Muscat,70000
Residential Land for Sale in Al Batinah Barka,,,,Lands,Al Batinah,20500
Residential Land for Sale in Muscat Al Maabilah,,,,Lands,Muscat,51000
110m2 2 Bedrooms Apartments for Sale in Muscat Qurm,110,2,2,Apartments,Muscat,67000
126m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,126,2,2,Apartments,Muscat,147000
70m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,70,1,2,Apartments,Muscat,53000
Commercial Land for Sale in Muscat Al Mawaleh,,,,Commercial,Muscat,195000
2000m2 Offices for Sale in Muscat Al Khoud,2000,,,Commercial,Muscat,1000
130m2 Villa for Sale in Muscat Barr al Jissah,130,,,Villa,Muscat,61300
2501m2 More than 6 bedrooms Villa for Sale in Muscat Qurm,2501,,,Villa,Muscat,120000
100m2 2 Bedrooms Apartments for Sale in Muscat Ghala,100,2,2,Apartments,Muscat,55000
242m2 Offices for Sale in Muscat Ghala,242,,,Commercial,Muscat,49000
